fun-fact,notes,topic,story-name,story-link,source,1st Round Fun Fact Approval  (put your name),Dr. Via Approval
"Packing a lunch just TWICE a week instead of spending $10 at the local deli can save you $1,000+ per year",,Budgeting,,https://finlit.finmango.org/budgeting-101/,https://www.purposegeneration.com/buzz/article/12-personal-finance-facts-you-didnt-learn-in-school,,
Requesting your credit report once a year yourself does not negatively influence your credit score,,Credit,,,https://www.purposegeneration.com/buzz/article/12-personal-finance-facts-you-didnt-learn-in-school,,
A good credit score is above 700.,,Credit,,,https://www.purposegeneration.com/buzz/article/12-personal-finance-facts-you-didnt-learn-in-school,,
"Historically, stocks provide an 8-10% rate of return per year, significantly more than the interest earned in savings accounts.",,Investing,Investment Asset Classes,https://finlit.finmango.org/what-is-investing/,https://www.purposegeneration.com/buzz/article/12-personal-finance-facts-you-didnt-learn-in-school,Katherine,
"Just 39% of Americans would be able to cover an unpected $1,000 expense, according to Bankrate.com.",,Budgeting,,https://finlit.finmango.org/budgeting-101/,,,
"$10,000 invested in the S&P 500 in 1991 with dividends reinvested, would be worth more than $210,000 today (2020) 📈.",,Investing,Why Do People Invest? ,https://finlit.finmango.org/what-is-investing/,https://www.fool.com/investing/how-to-invest/index-funds/average-return/,Katherine,
"The 50/30/20 rule is a guideline for allocating your after-tax dollars- 50% goes to your needs, 30% to your wants, and 20% to your savings/investments.",,Budgeting ,,,https://www.thebalance.com/the-50-30-20-rule-of-thumb-453922,,
Did you know that Wall Street is really named after a wall? It was a wooden barrier built in 1653 to protect the Dutch colonists who then ruled Manhattan from the British and Native Americans.,,Entrepreneurship ,,,https://www.aarp.org/money/investing/info-03-2012/money-facts.html,,
"if your credit card is used to make fraudulent charges, you're responsible for no more than $50 in liability, period. Timing matters though, so notify your bank ASAP.",,Credit ,,,,,
"the highest-price stock currently sold on the NYSE is Warren Buffet's Berkshire Hathaway, Class A (NYSE: BRK-A), which sells for more than $350,000 per share.",,Passive Investing ,,,https://investinganswers.com/articles/99-surprising-financial-facts-most-investors-dont-know,,
Bill Gates told his Harvard University professors that he would be a millionaire by age 30. He became a billionaire at age 31.,,Entrepreneurship ,,,,,
"The highest marginal tax bracket in US history occured in 1944 and 1945, and was 94% for individuals earning over $200,000 (2.9 million dollars in 2021 dollars).",,,,,https://www.investopedia.com/6-famous-discontinued-and-uncommon-u-s-currency-denominations-4773302,,
Finmango's mission statement is to revolutionize financial literacy and make it universally accessible and useful? ,,FinMango ,,https://finmango.org/,,,
Did you know that you can get involved with FinMango? ,,FinMango ,,https://finmango.typeform.com/to/OYrbiHXR,,,
FinMango is a powerful community of advocates on a mission to promote financial literacy globally. Want to be an advocate? ,,FinMango ,,https://campaign.finmango.org/,,,
